pdf_page,n_chars,text_preview
48,767,或 者 ： 如果 没 有 u -> x endpoint pair ， 不要 称 flow/bridge ， 只 保 留 diffusion 。 10.2 Flow matching path 实现 ： 目标 velocity ： loss ： 模 型 ： 只 有 F1/F2 可以在论文 中 称 作 geometry-to-mechanics flow。 10.3 Stochastic interpolant path 实现 ： 其 中： python u = neutral
49,956,训练 drift / velocity ： 模 型 ： 只 有 当你 显 式 使 用 随 机 插 值项 并 训练 bridge path 时 ， 才 在 结 果 中 使 用 stochastic interpolant 标 签 。 Stochastic interpolants 的 文 献 定位 就 是 连 接 任 意 两 个分 布 ， 并统 一 flow/diffusion 。 10.4 Schrödinger bridge 判 定 不要 默 认 实现 。 只 有 当 代码
50,895,flow/bridge 值 得 引 入 的 判 断 标 准 ： 如果 flow 只 是在 MAE 上 略 优但 calibration 差 ， 不 建议 作为主 claim 。 12. 主 指 标 体系 不要 把 PSNR/SSIM 放 主表 。 PSNR/SSIM 只 放 Supplementary 。 12.1 Geometry metrics 实现 ： 2D ： 1. Reconstruction accuracy 2. Geometry support recover
51,556,3D ： 12.2 Mechanics metrics 实现 ： 3D depth-specific ： 12.3 Probabilistic posterior metrics Shape descriptor MAE False disconnected components text Volume Dice Surface Dice Hausdorff distance 95 Average surface distance Volume error Centroid 
52,495,"实现 ： 需 要 posterior samples ： 指 标 ： CRPS 对 样 本 posterior ： 12.4 OOD / failure metrics 实现 ： 定 义 failure ： tau 可 配 置 ： python metrics_probabilistic.py python posterior_samples: [N, M, ...] text CRPS Cov50 / Cov80 / Cov90 / Cov95 Width50 / Widt"
53,649,指 标 ： OOD distance ： 计 算 ： 输 出 slope 和 置 信区间 。 13. 实 验 矩 阵 实现 统 一 runner ： 生成如下表 ： 主表 列 ： failure_thresholds: E_mae: 0.15 z_bottom_mm: 1.0 dice_min: 0.75 text AUROC_fail using total_uncertainty AUROC_fail using epistemic_uncertainty AUPRC_f
54,478,对于 2D 没 有 depth 的 任 务 ， depth 字 段 填 NA 。 主实 验组 合 text model_name data_dim split_type geometry_prior physics_randomization operator_conditioning path_type MAE_E RMSE_E P90AE_E Dice BoundaryF1 HD95 MAE_z_bottom MAE_thickness IntervalIoU CRPS 
55,920,Negative controls 实现 ： 14. Visualization ： Nature Computational Science 风格 图 所 有 图 输 出 PDF + PNG ： 绘 图要 求 ： Figure 1 ： Concept + data factorization 文 件 ： optional G2 + F1/F2/SI1 text Geometry-only model should fail depth/stiffness recovery.
56,996,Panel 设计 ： 这个图 强调 ： Figure 2 ： Geometry memory validation 文 件 ： Panel ： 主信息 ： text figure_1_factorized_memory_physics.pdf text a. Public dermatology image / lesion mask examples b. Geometry-only descriptors extracted from masks c. Independe
57,689,Figure 3 ： 2D reconstruction ablation 文 件 ： Panel ： 配 套 ： 不要用 PSNR 做 主图 。 Figure 4 ： 3D posterior mechanics + depth 文 件 ： Panel ： Clinical prior matches real lesion geometry distribution. Geometry is independent of depth/stiffness. text fig
58,825,"Figure 5 ： Uncertainty, OOD, risk 文 件 ： Panel ： 主信息 ： Figure 6 ： Diffusion vs flow/stochastic interpolant optional 只 有 实现 flow/stochastic interpolant 才 生成 。 文 件 ： Panel ： c. Axial/sagittal/coronal slices of E3d d. z-depth profile: true vs p"
59,1086,图 标 题 中 必 须 标 注 ： 避 免 主文过度 宣 传 。 15. 输 出报告 生成以下报告 ： clinical_memory_claim_check.md 必 须 回 答 每 条给 ： a. Diffusion path: Gaussian noise -> modulus field b. Geometry-to-mechanics flow path: geometry template -> modulus field c. Stochastic interp
60,1195,diffusion_vs_flow_decision.md 必 须 回 答 Terminology decision rule ： 16. Nature Computational Science 复 现性要 求 实现 ： 输 出 ： text 1. Is the implemented main model still Gaussian diffusion? 2. Was a directed geometry-to-mechanics endpoint path impl
61,1408,Nature Portfolio 要 求 核 心数 据 、 代码 、 算 法能 支持读 者 验 证 和 构 建已 发表 结 论 ； 代码 可用性 声 明 也 需 要说明如 何 访 问 核 心自定 义 代码 。 (Nature) README 必 须 包 含 可 直 接 交给 Codex 的 主 prompt 下面这 段 可以 直 接作为 Codex 任 务 输 入 。 environment.yml requirements.txt README.md CODE_AVAILA
62,2164,"directly determine stiffness or depth. Geometry and mechanics must be represented as separate objects: geometry g ~ p_clin(g) mechanics b ~ p_phys(b) field x = T(g,b) readout y_d = H_d(x;q_d) + noise Required tasks: 1. Build a data manifest"
63,1665,17. 最 终 论文 判 断 逻 辑 实 验 完 成后 ， 按 这个 决策 树 写 论文 ： 情 况 A ： D5 显 著 优 于 D1/D3 ， flow 没 有 明 显优 势 主 claim ： Clinical-image-informed geometry memory and depth-aware physical conditioning improve posterior biomechanical reconstruction. 标 题不要 写 diffus
64,604,情 况 C ： geometry-only model 也 能 预测 depth/stiffness 这是 失 败 信号 。 说明数 据 泄 漏 或 随 机化不 独 立 。 必 须 回到 decoupling 阶 段 。 情 况 D ： clinical prior 只 提高 PSNR ， 不提高 boundary / uncertainty / OOD 不 够 NCS 。 说明 clinical informed 的 机制 没 有 被证 明 。 需 要 强 化 geomet
